2026-06-07 20 4.276 4.277 8.448 8.451 25.9
2026-06-07 21 4.282 4.282 8.448 8.448 25.9
2026-06-08 21 4.181 4.181 8.448 8.448 26.1
2026-06-08 22 4.189 4.189 8.448 8.448 26.2
2026-06-08 23 4.201 4.201 8.448 8.452 26.4
2026-06-09 00 4.215 4.215 8.448 8.449 26.4
2026-06-09 01 4.227 4.227 8.448 8.449 26.4
2026-06-09 02 4.241 4.242 8.448 8.448 26.5
2026-06-09 03 4.255 4.255 8.448 8.437 26.4
2026-06-09 04 4.269 4.269 8.448 8.454 26.5
2026-06-09 05 4.282 4.283 8.448 8.461 26.5
2026-06-09 06 4.291 4.291 8.448 8.451 25.7
2026-06-09 07 4.306 4.306 8.448 8.448 25.8
2026-06-09 08 4.318 4.318 8.448 8.448 25.9
2026-06-09 09 4.332 4.332 8.448 8.446 25.9
2026-06-09 10 4.344 4.344 8.448 8.448 26.0
2026-06-09 11 4.357 4.357 8.448 8.448 26.2
2026-06-09 12 4.368 4.368 8.448 8.450 26.1
2026-06-09 13 4.379 4.379 8.448 8.451 26.1
2026-06-09 14 4.390 4.390 8.448 8.449 25.6
2026-06-09 15 4.400 4.401 8.448 8.456 25.5
2026-06-09 16 4.411 4.411 8.448 8.448 25.3
2026-06-09 22 4.470 4.470 8.448 8.449 25.0
2026-06-09 23 4.480 4.480 8.448 8.450 25.1
2026-06-10 00 4.489 4.489 8.448 8.445 25.0
2026-06-10 01 4.498 4.498 8.448 8.447 25.0
2026-06-10 02 4.508 4.508 8.448 8.453 24.9
2026-06-10 03 4.517 4.517 8.448 8.447 24.7
2026-06-10 04 4.527 4.527 8.448 8.447 24.8
2026-06-10 05 4.535 4.535 8.448 8.448 24.7
2026-06-10 06 4.543 4.543 8.448 8.448 24.4
2026-06-10 07 4.554 4.555 8.448 8.461 24.7
2026-06-10 08 4.562 4.562 8.448 8.450 24.5
2026-06-10 09 4.569 4.569 8.448 8.446 24.6
